category,variable,value
state,inlet/H_link_R,0.1655458718842374
state,inlet/H_link_L,0.45
state,inlet/H_down,0.44999999858297884
state,inlet/RBC_volume,1.5269637997063594e-14
state,inlet/q_C,3.3283866024657928e-18
state,VV_junc1/RBC_volume,5.2994374144537023e-17
state,VV_junc1/q_C,2.765863321514603e-18
state,VV_junc1/q_C_d,2.7600734819372476e-18
state,PV1/H_link_R,0.4499625595101894
state,PV1/H_link_L,0.4623008448303724
state,PV1/H_down,0.4494864237760941
state,PV1/RBC_volume,7.635329850908598e-16
state,PV1/q_C,1.6564211274778232e-19
state,PV2/H_link_R,0.449962562316234
state,PV2/H_link_L,0.4623006273866477
state,PV2/H_down,0.4494864429326235
state,PV2/RBC_volume,7.6353298276877e-16
state,PV2/q_C,1.6564211274773738e-19
state,V1/H_link_R,0.16554587643938068
state,V1/H_link_L,0.4498422585141897
state,V1/H_down,0.45000374012631394
state,V1/RBC_volume,1.0692474374035332e-14
state,V1/q_C,2.7605271772467856e-18
state,V2/H_link_R,0.16554587624870748
state,V2/H_link_L,0.4498422674831086
state,V2/H_down,0.45000373987055603
state,V2/RBC_volume,1.0692474374982412e-14
state,V2/q_C,2.7605271772472794e-18
state,VV_junc2/RBC_volume,4.5069972137350334e-17
state,VV_junc2/q_C,2.750960390410265e-18
state,VV_junc2/q_C_d,2.7480654706443405e-18
state,PV3/H_link_R,0.450041972367913
state,PV3/H_link_L,0.45974995151487547
state,PV3/H_down,0.4499117574977348
state,PV3/RBC_volume,6.415462882678065e-16
state,PV3/q_C,1.6492401487405905e-19
state,PV4/H_link_R,0.4500419660110813
state,PV4/H_link_L,0.4597504982492192
state,PV4/H_down,0.4499117112614112
state,PV4/RBC_volume,6.415462912221819e-16
state,PV4/q_C,1.6492401487401618e-19
state,V3/H_link_R,0.17255771499321698
state,V3/H_link_L,0.45007619953579836
state,V3/H_down,0.449995158956189
state,V3/RBC_volume,7.069573752083085e-15
state,V3/q_C,2.1988816693618914e-18
state,V4/H_link_R,0.17255771508767379
state,V4/H_link_L,0.4500761786896283
state,V4/H_down,0.44999515956272296
state,V4/RBC_volume,7.069573751278946e-15
state,V4/q_C,2.1988816693603206e-18
state,VV_junc3/RBC_volume,4.507024191564715e-17
state,VV_junc3/q_C,2.7509603904070884e-18
state,VV_junc3/q_C_d,2.748065470645705e-18
state,PV5/H_link_R,0.4500419542796737
state,PV5/H_link_L,0.45975288479902937
state,PV5/H_down,0.44991159678539455
state,PV5/RBC_volume,6.415463283142517e-16
state,PV5/q_C,1.6492401487283536e-19
state,PV6/H_link_R,0.4500419751676428
state,PV6/H_link_L,0.4597511042504137
state,PV6/H_down,0.4499117323952958
state,PV6/RBC_volume,6.415462589720601e-16
state,PV6/q_C,1.649240148740567e-19
state,V5/H_link_R,0.1725577148339267
state,V5/H_link_L,0.45007613608215713
state,V5/H_down,0.4499951607651326
state,V5/RBC_volume,7.069573752034877e-15
state,V5/q_C,2.1988816693442803e-18
state,V6/H_link_R,0.17255771482624957
state,V6/H_link_L,0.4500762019951752
state,V6/H_down,0.44999515867827183
state,V6/RBC_volume,7.0695737521385975e-15
state,V6/q_C,2.1988816693767996e-18
state,VV_junc4/RBC_volume,3.7624774957169585e-17
state,VV_junc4/q_C,2.742316061298808e-18
state,VV_junc4/q_C_d,2.740868601413843e-18
state,PV7/H_link_R,0.4500563288016068
state,PV7/H_link_L,0.46093877628313495
state,PV7/H_down,0.44995224556915664
state,PV7/RBC_volume,5.302151360836605e-16
state,PV7/q_C,1.644937926886737e-19
state,PV8/H_link_R,0.4500563286984458
state,PV8/H_link_L,0.4609388470488498
state,PV8/H_down,0.4499522425785595
state,PV8/RBC_volume,5.302151364175481e-16
state,PV8/q_C,1.6449379268866857e-19
state,V7/H_link_R,0.45
state,V7/H_link_L,0.4501142930268583
state,V7/H_down,0.4499943711663996
state,V7/RBC_volume,4.294904786321696e-15
state,V7/q_C,1.6448761862969992e-18
state,V8/H_link_R,0.45
state,V8/H_link_L,0.4501142923566057
state,V8/H_down,0.4499943711767144
state,V8/RBC_volume,4.294904786321554e-15
state,V8/q_C,1.6448761862968939e-18
state,VV_junc5/RBC_volume,3.762474847643078e-17
state,VV_junc5/q_C,2.7423160612942003e-18
state,VV_junc5/q_C_d,2.7408686014083145e-18
state,PV9/H_link_R,0.45005637446798413
state,PV9/H_link_L,0.460905204471643
state,PV9/H_down,0.4499536397175509
state,PV9/RBC_volume,5.30215107047996e-16
state,PV9/q_C,1.6449379269023642e-19
state,PV10/H_link_R,0.4500563181906356
state,PV10/H_link_L,0.46094180565307025
state,PV10/H_down,0.4499520910183896
state,PV10/RBC_volume,5.30215137099694e-16
state,PV10/q_C,1.644937926897552e-19
state,V9/H_link_R,0.45
state,V9/H_link_L,0.45011459319936165
state,V9/H_down,0.44999436660118763
state,V9/RBC_volume,4.294904786416624e-15
state,V9/q_C,1.6448761863031368e-18
state,V10/H_link_R,0.45
state,V10/H_link_L,0.4501142474206818
state,V10/H_down,0.4499943722270337
state,V10/RBC_volume,4.294904786300105e-15
state,V10/q_C,1.6448761862935514e-18
state,VV_junc6/RBC_volume,3.762480749018515e-17
state,VV_junc6/q_C,2.742316061287857e-18
state,VV_junc6/q_C_d,2.7408686014058154e-18
state,PV11/H_link_R,0.450056330262945
state,PV11/H_link_L,0.4609371172527214
state,PV11/H_down,0.44995231208017594
state,PV11/RBC_volume,5.302151349411736e-16
state,PV11/q_C,1.6449379268787082e-19
state,PV12/H_link_R,0.4500563306855946
state,PV12/H_link_L,0.46093688942422983
state,PV12/H_down,0.4499523241138349
state,PV12/RBC_volume,5.302151350873395e-16
state,PV12/q_C,1.6449379268786765e-19
state,V11/H_link_R,0.45
state,V11/H_link_L,0.45011430559509585
state,V11/H_down,0.44999437102034096
state,V11/RBC_volume,4.2949047863261954e-15
state,V11/q_C,1.6448761862928211e-18
state,V12/H_link_R,0.45
state,V12/H_link_L,0.4501143085037299
state,V12/H_down,0.4499943709780539
state,V12/RBC_volume,4.294904786325504e-15
state,V12/q_C,1.6448761862927749e-18
state,VV_junc7/RBC_volume,3.7624806671831104e-17
state,VV_junc7/q_C,2.7423160613078012e-18
state,VV_junc7/q_C_d,2.7408686014203365e-18
state,PV13/H_link_R,0.4500563293399063
state,PV13/H_link_L,0.460937846461119
state,PV13/H_down,0.4499522832211856
state,PV13/RBC_volume,5.302151362302142e-16
state,PV13/q_C,1.6449379268872346e-19
state,PV14/H_link_R,0.45005632709530746
state,PV14/H_link_L,0.4609400730715621
state,PV14/H_down,0.44995219344139603
state,PV14/RBC_volume,5.302151376993219e-16
state,PV14/q_C,1.6449379268870018e-19
state,V13/H_link_R,0.45
state,V13/H_link_L,0.4501142995594934
state,V13/H_down,0.4499943711125117
state,V13/RBC_volume,4.2949047863206135e-15
state,V13/q_C,1.6448761863006248e-18
state,V14/H_link_R,0.45
state,V14/H_link_L,0.4501142817374055
state,V14/H_down,0.44999437133693976
state,V14/RBC_volume,4.294904786316709e-15
state,V14/q_C,1.6448761863001566e-18
constant,global/H_global_L,0.45
constant,global/H_global_R,0.45
constant,inlet/H_R_out_LHS,0.45
constant,global/gamma_mirror,0.1
constant,global/tau_H_down,0.001
constant,global/tau_H_mean,0.001
constant,global/v_eps,1e-30
constant,global/q_C_init,0.0
constant,inlet/r,6e-06
constant,global/mu_plasma,0.001
constant,inlet/u_in,6666.1
constant,global/u_ext,133.0
constant,global/tau_link,0.001
constant,global/v_scale,1e-50
constant,global/one_mm3,1e-09
constant,global/div_0,1e-25
constant,global/div_0y,1e-08
constant,global/v_threshold,1e-18
constant,global/k,1000.0
