category,variable,value
state,inlet/H_link_R,0.16554533503524738
state,inlet/H_link_L,0.45
state,inlet/H_down,0.449999999005151
state,inlet/RBC_volume,1.5269638949389773e-14
state,inlet/q_C,3.3304324226885967e-18
state,VV_junc1/RBC_volume,5.3129684920468425e-17
state,VV_junc1/q_C,2.769272006972341e-18
state,VV_junc1/q_C_d,2.764894767188325e-18
state,PV1/H_link_R,0.4499606157540015
state,PV1/H_link_L,0.4629569747141832
state,PV1/H_down,0.4494584270115804
state,PV1/RBC_volume,7.635217082420872e-16
state,PV1/q_C,1.6593367921428482e-19
state,PV2/H_link_R,0.44996062342925724
state,PV2/H_link_L,0.4629455867731889
state,PV2/H_down,0.44945881826960615
state,PV2/RBC_volume,7.635216829641695e-16
state,PV2/q_C,1.659336758114149e-19
state,V1/H_link_R,0.16877102489882437
state,V1/H_link_L,0.4498340144397035
state,V1/H_down,0.4500038278206632
state,V1/RBC_volume,1.0692476758257886e-14
state,V1/q_C,2.7654351283631478e-18
state,V2/H_link_R,0.16877102492005452
state,V2/H_link_L,0.4498340821456568
state,V2/H_down,0.45000382704704384
state,V2/RBC_volume,1.0692476758081617e-14
state,V2/q_C,2.7654351290434194e-18
state,VV_junc2/RBC_volume,4.5091178832564876e-17
state,VV_junc2/q_C,2.7580055576032245e-18
state,VV_junc2/q_C_d,2.7558170606915004e-18
state,PV3/H_link_R,0.45001259668412064
state,PV3/H_link_L,0.4616498943276744
state,PV3/H_down,0.4497385713914187
state,PV3/RBC_volume,6.415547157656964e-16
state,PV3/q_C,1.653905004600027e-19
state,PV4/H_link_R,0.4500125966841176
state,PV4/H_link_L,0.46164989432758646
state,PV4/H_down,0.449738571391391
state,PV4/RBC_volume,6.415547157656421e-16
state,PV4/q_C,1.6539050046000347e-19
state,V3/H_link_R,0.45
state,V3/H_link_L,0.44998862167485104
state,V3/H_down,0.44999874157007946
state,V3/RBC_volume,7.069575833985925e-15
state,V3/q_C,2.2051360761119726e-18
state,V4/H_link_R,0.45
state,V4/H_link_L,0.4499886216748402
state,V4/H_down,0.44999874157007974
state,V4/RBC_volume,7.069575833985925e-15
state,V4/q_C,2.2051360761119726e-18
state,VV_junc3/RBC_volume,4.509154804731749e-17
state,VV_junc3/q_C,2.758005575811102e-18
state,VV_junc3/q_C_d,2.7558170844178176e-18
state,PV5/H_link_R,0.4500126003633829
state,PV5/H_link_L,0.46165405002189513
state,PV5/H_down,0.44973848705000746
state,PV5/RBC_volume,6.415546237201658e-16
state,PV5/q_C,1.6539042269352074e-19
state,PV6/H_link_R,0.45001259208841843
state,PV6/H_link_L,0.4616484826165441
state,PV6/H_down,0.4497385592079264
state,PV6/RBC_volume,6.415546197280901e-16
state,PV6/q_C,1.6539042412527714e-19
state,V5/H_link_R,0.45
state,V5/H_link_L,0.4499886239845553
state,V5/H_down,0.4499987412086233
state,V5/RBC_volume,7.069575834279371e-15
state,V5/q_C,2.205136094950624e-18
state,V6/H_link_R,0.45
state,V6/H_link_L,0.4499886068011827
state,V6/H_down,0.4499987420357697
state,V6/RBC_volume,7.069575834252539e-15
state,V6/q_C,2.2051360949497965e-18
constant,global/H_global_L,0.45
constant,global/H_global_R,0.45
constant,inlet/H_R_out_LHS,0.45
constant,global/gamma_mirror,0.1
constant,global/tau_H_down,0.001
constant,global/tau_H_mean,0.001
constant,global/v_eps,1e-30
constant,global/q_C_init,0.0
constant,inlet/r,6e-06
constant,global/mu_plasma,0.001
constant,inlet/u_in,6666.1
constant,global/u_ext,133.0
constant,global/tau_link,0.001
constant,global/v_scale,1e-50
constant,global/one_mm3,1e-09
constant,global/div_0,1e-25
constant,global/div_0y,1e-08
constant,global/v_threshold,1e-18
constant,global/k,1000.0
constant,VV_junc1/r,6e-06
constant,VV_junc1/vbc2,0.0
constant,VV_junc1/H_to2,0.0
constant,VV_junc1/r_bc2,0.0
constant,VV_junc1/C_conn2,8.51e-22
constant,global/R_VV_junc,1000000000000000.0
constant,global/R_constriction_base,0.0
constant,PV1/R_constriction_final,0.0
constant,global/tau_sig,1.0
constant,global/t0,500.0
constant,PV1/r,6e-06
constant,PV2/R_constriction_final,0.0
constant,PV2/r,6e-06
constant,V1/r,5.5e-06
constant,V2/r,5.5e-06
constant,VV_junc2/r,5.5e-06
constant,VV_junc2/vbc2,0.0
constant,VV_junc2/H_to2,0.0
constant,VV_junc2/r_bc2,0.0
constant,VV_junc2/C_conn2,8.51e-22
constant,PV3/R_constriction_final,0.0
constant,PV3/r,5.5e-06
constant,PV4/R_constriction_final,0.0
constant,PV4/r,5.5e-06
constant,V3/H_L_out_RHS,0.45
constant,V3/r,5e-06
constant,V3/u_out,6599.44
constant,V4/H_L_out_RHS,0.45
constant,V4/r,5e-06
constant,V4/u_out,6599.44
constant,VV_junc3/r,5.5e-06
constant,VV_junc3/vbc2,0.0
constant,VV_junc3/H_to2,0.0
constant,VV_junc3/r_bc2,0.0
constant,VV_junc3/C_conn2,8.51e-22
constant,PV5/R_constriction_final,0.0
constant,PV5/r,5.5e-06
